Echelle Order,Min,Max
161,,
160,,
159,,
158,,
157,3883.27666277964,3918.5506903407254
156,3906.0640088426017,3943.66443894338
155,3929.135963532921,3969.1021238997128
154,3953.308591863586,3994.8700609790176
153,3978.220664667846,4020.974608391296
152,4004.3858501611926,4047.4226343027567
151,4030.897347910576,4074.220776892651
150,4057.762233911378,4101.376279725091
149,4084.9877259635673,4128.8961666431605
148,4112.58109554985,4156.787795389714
147,4140.549781760395,4185.058794640205
146,4168.901492778794,4213.717000685033
145,4197.64426811587,4242.77037211766
144,4226.7859768684775,4272.227154113714
143,4256.33495305915,4302.095783485597
142,4286.300798543134,4332.38499737606
141,4316.691105703183,4363.10375650512
140,4347.51557624073,4394.261193067048
139,4378.783432933409,4425.866850961989
138,4410.504382417679,4457.930376800607
137,4442.688501257224,4490.461909876401
136,4475.345454894145,4523.471679868371
135,4508.486269516718,4556.970353608888
134,4542.121994022046,4590.9688520122445
133,4576.263177958302,4625.4785050987375
132,4610.921275726175,4660.5108303117695
131,4646.108741624007,4696.07783661735
130,4681.837251739207,4732.191786826771
129,4718.119643864156,4768.865555732402
128,4754.968888915659,4806.1121544978205
127,4792.398232180579,4843.945107510004
126,4830.421781210265,4882.378522063301
125,4869.053452858694,4921.426731872012
124,4908.308182367032,4961.104487484678
123,4948.201031238921,5001.427067738819
122,4988.747638161624,5042.41038874857
121,5029.964365988831,5084.070896578177
120,5071.867948121233,5126.425586763912
119,5114.47575178418,5169.491967602449
118,5157.805599397589,5213.287970594717
117,5201.87601387621,5257.832378952252
116,5246.705933413897,5303.144576672762
115,,
114,5338.691693318953,5396.15297678387
113,5385.918805891567,5443.89128548186
112,5433.988812645349,5492.481722589922
111,5482.9246969772785,5541.947311561877
110,5532.750050470516,5592.3118494894325
109,5583.489626843285,5643.600324582506
108,5635.168370919243,5695.838307467714
107,5687.812977035178,5749.052146925049
106,5741.450314018009,5803.26953053204
105,5796.109208153353,5858.519453929847
104,5851.818916767329,5914.831193894005
103,5908.6100151560095,5972.235750569712
102,5966.51449548944,6030.765561981985
101,6025.565664045696,6090.4539889263915
100,6085.797150153691,6151.335644312871
99,6147.245185719848,6213.446541857743
98,6209.9472844583,6276.824227085395
97,6273.941852041046,6341.508386117312
96,6339.2689266374455,6407.539490995552
95,6405.971345072673,6474.959277598473
94,6474.092818979353,6543.813582845225
93,6543.67854041466,6614.148707519365
92,6614.776588412396,6686.00988365911
91,6687.4370457987425,6759.451055960594
90,6761.711532765553,6834.523494300961
89,6837.655035144342,6911.282225745975
88,,
87,,
86,,
85,,
84,,
83,,
82,,
81,,
80,,
79,,
78,,
77,,
76,,
75,,
74,,
73,,
72,,
71,,
70,,
69,,
68,,
67,,
66,,
65,,
64,,
63,,
62,,
61,,
60,,
59,,
58,,
57,,
56,,
